Gene	ERR2694921	ERR2694922	ERR2694923	ERR2694924	ERR2694925	ERR2694926	ERR2694927	ERR2694928	ERR2694929	ERR2694930	ERR2694931	ERR2694932	ERR2694934	ERR2694935	ERR2694936	ERR2694937	ERR2694938	ERR2694939	ERR2694940	ERR2694941	ERR2694942	ERR2694943	ERR2694945	ERR2694946	ERR2694947	ERR2694948	ERR2694949	ERR2694950	ERR2694951	ERR2694952	ERR2694953	ERR2694954	ERR2694955	ERR2694956	ERR2694957	ERR2694958	ERR2694959	ERR2694960	ERR2694961	ERR2694962	ERR2694963	ERR2694964
IGHA	0.890045631	0.450356492	0.693402639	0.336103698	3.019269485	1.120608899	1.213059277	0.708854809	0.669548258	1.357682043	1.184678232	5.231921445	0.122858722	0.713114754	43.18306011	9.577096698	2.353668369	0.07499251	1.175777008	5.21282715	2.00443066	0.895964691	1.020444911	0.986298018	0.668143553	4.838241694	4.302861906	NA	7.606557377	0.015891137	9.435851746	0.153158104	1.349643729	1.573593743	3.292166137	5.141469338	0.82895829	2.399290576	0.160907945	5.966737943	1.134005114	0.998082638
IGHD	0.349877119	0.199518404	0.170807219	0.060551516	2.283960676	0.965971915	0.382832267	0.794855577	0.864633212	0.369573043	0.508481369	0.961638195	0.15384214	1.128121105	0.823013416	3.383138152	1.045018525	0.192865658	0.583449717	1.71690837	0.32758765	0.253234897	0.330780512	0.656624001	1.223687199	1.25537686	0.535656189	NA	0.695820433	0.68275309	1.590725535	0.575983995	0.559439901	0.087121244	1.355621092	1.07359903	1.018585649	0.968714356	0.573231722	7.625072912	2.65231346	0.787572647
IGHD1.1	0.111244306	0.01498708	0.148043108	0.141157382	10.11627907	1.294642857	0.462165034	2.562307243	1.057167427	0.313683072	0.643862422	1.027033408	0.359942514	1.072938689	21.0755814	0	5.52802135	0.082167063	2.499816595	2.603019176	1.655667295	2.442605844	3.271779043	0.176154113	1.83577265	5.043218769	3.154907371	NA	15.00581395	1.972533523	7.770475228	0.053375774	1.301689404	0.18178399	0.053313724	4.317706411	0.218759199	1.784645723	0.527429934	1.172901921	3.310219757	3.096015232
IGHD1.2	0.048669384	0.513842746	0.877292494	1.254732288	0	0.04516196	1.255263054	1.256980912	0	0.313683072	0.501994431	3.303624129	0.094721714	2.518121413	24.16666667	0	2.929851315	0.302720759	0.127650209	2.129742962	0.273412948	0.799791294	0	1.837035751	1.419143396	0	0.160031533	NA	7.25	0.31936257	0.403185035	0.291996882	1.39393511	0.19087319	0.133284309	1.623600345	0.293457462	0.847953216	0.185897436	0.390967307	0.0928099	0.029579763
IGHD1.3	0.065292096	0.117460317	0.100271003	0.903100775	2.485380117	1.220238095	0.70783982	0.860215054	0.560021436	1.275193798	0.307443366	2.470389171	0.912921348	1.547619048	25.27777778	2.729468599	5.901639344	0.03045848	1.004206099	4.766081871	0.960960961	1.549145299	0.026697178	1.878109453	4.272844273	0.471976401	0.062146893	NA	0	1.541318477	0.778985507	0.487274984	0.369807497	1.361185984	1.475625823	1.904761905	0.087025316	1.310916179	0.517094017	3.212560386	4.801223242	0.068226121
IGHD1.4	0.86909614	0.04496124	0.512667801	0.070578691	0.769073847	2.10755814	1.609019006	1.559139785	1.03006057	1.403731747	2.095281102	0	0	0.974403503	34.84496124	27.70980789	4.754098361	0.103789974	0.638251045	8.637290902	1.412633564	0	0.918258741	0.478132593	0.520786567	0.358098374	1.108789909	Inf	13.99418605	0.52600894	4.94817998	1.004720454	2.941613063	1.163417539	1.30618623	11.73987941	1.115138357	0.078879369	0	1.172901921	5.53765735	1.074731402
IGHD2.1	0.597938144	0	0.089659911	0.075990829	0.716580183	1.823440644	0	0.161037912	0	0.094988536	1.506905511	0	0.126206678	3.620358515	27.91079812	0	0.73655045	0.092978519	0	0	0.036797361	0	0.140200471	2.773807021	0	0	1.966101695	NA	16.13380282	0	1.065523576	0.319458651	0.260713215	0.451387571	3.228859322	0	0.29729007	0.621036158	0	0.355174525	4.384287376	0.943497241
IGHD2.2	0	0	0.239093095	1.035375041	0	1.185236419	0.552894354	1.610379121	1.175444953	1.348837209	0	1.492814757	1.021126761	1.206786172	0	4.202898551	10.5125837	0.462273481	0.798862576	1.863108475	4.378885928	1.728060672	0	0.274332563	0	7.518384644	0.983050847	NA	22.97535211	2.844364236	0.577158604	0.901329766	1.241491502	0.781671159	1.388409508	1.491169238	0.122793724	0.334404085	0.115204045	7.577056542	3.335056209	2.818548719
IGHD2.3	0.690576448	0.2126537	0.84014657	0.047494268	5.44600939	1.422283702	0.877719787	2.166691908	0.768307595	1.272846381	0.43620949	3.213698434	0	1.684196086	60.24647887	9.175341907	12.52135765	0.013095566	1.739458835	0	0.147189443	3.717948718	0.504721694	2.34706748	2.239382239	0.3614608	0.152303652	NA	7.25	1.672486171	3.684935701	0	0.136564065	1.563342318	0.887936314	0.172889187	0.956498485	0	0.801191766	4.202898551	0.262307792	0
IGHD2.4	0.050529984	0.049273418	0	0.047494268	1.003212256	2.753395372	0	0	0.1247679	0	0	2.944162437	0.573666719	0.225443571	10.21126761	5.505205144	4.754098361	0.014405123	0	0	0.183986804	0.183279162	0.084120282	0.335295354	0.236554462	0.25302256	0.359990451	NA	8.169014085	0	0	0.076061584	0.968363372	0.154132341	0.516617492	0.237722632	0.045239793	0.955440244	0.078548212	0	0.374725417	0.203031052
IGHD3.1	1.734677693	0.548334205	0.963816671	0.251980578	15.93406593	1.593406593	2.480429892	2.501477018	0.978587329	2.312292359	1.753262918	5.386846656	1.038399802	2.514271443	56.03479853	20.13696448	0.835885426	0.183913554	2.704267341	0.447272026	2.8997129	2.737390814	3.94523097	1.664753157	4.331112903	15.7930565	1.458372136	NA	20.79395604	2.698582754	8.867654085	0.807088628	1.87915428	1.443085217	2.053164227	6.660270946	1.316073167	4.631129105	0.290081713	6.881669056	3.449944551	2.385450807
IGHD3.3	0.473093916	0.261015175	0.414544805	1.230258114	13.6417968	1.380003925	2.663766014	3.735082122	2.26458429	2.912599029	1.082897685	3.138283037	0.420730954	1.872770087	61.34615385	6.142697882	7.313997478	0.220696264	1.105834229	3.438403702	2.784872785	4.718934911	1.837704629	6.659012629	2.436251008	1.57930565	1.998509965	NA	15.61538462	3.373228443	20.19469661	1.338224159	1.559504325	1.700779005	3.350562481	5.041572184	2.112776464	0.503181029	1.466751198	7.389711738	3.362234096	2.44135981
IGHD3.4	0.124844228	0.159846503	0.064772626	0.007411193	9.784075574	0.796703297	2.005912869	2.924100989	1.967421646	1.067211858	0.680678545	2.442684219	0.69823435	2.04866562	20.97985348	0	1.2015853	0.226826716	1.296841959	2.348178138	4.005049005	3.145956607	1.465788216	5.374774479	2.239382239	1.83312263	0	Inf	3.744505495	0.985337782	5.403726708	0.314527186	1.356090718	0.111667308	1.385570951	3.035060178	0.499200167	2.590450485	0.527049873	15.42602325	1.783445912	0.316817685
IGHD4.1	2.18430465	0.323161646	0.394557823	3.957047935	39.81919083	2.311862245	1.832590904	7.222953698	1.998162609	0.763882297	3.801928538	2.418419144	2.369009402	4.304267161	28.1122449	11.27920734	13.92271663	0.333963659	5.983712097	10.69459363	1.932800147	10.28126635	2.593517956	11.79256777	9.106059412	16.4719162	3.781736423	NA	6.584183673	1.623841737	19.45984916	1.239881427	3.759692327	4.93729028	3.345164153	5.057229241	1.165880909	3.01975176	0.33385662	19.12747708	20.68713724	5.278076143
IGHD5.2	0.295886917	0.280936017	0.444807644	0.347638456	2.517634292	1.614966863	1.947598863	1.693086502	0.985348228	1.230640134	3.434757949	6.449840389	0.89018881	1.640447182	33.88316151	17.46152697	16.76187257	0.262640352	0	2.098028577	0.40401226	1.30319852	1.470900469	2.498845976	3.53222147	6.667274884	2.52350166	NA	18.83505155	0.682882003	8.221649485	0.974293997	0.318052204	0.427098675	0.18907135	2.989690722	0.84676367	2.543859649	0.74742268	8.449125952	3.839969734	2.692470007
IGHD5.3	1.171219046	0.561872034	0.753499288	1.098537521	8.916621451	6.873619293	1.203970206	6.247274877	1.970696456	1.418364901	2.331765255	9.940342247	0.957372872	4.494242871	93.92611684	25.69400867	16.90890654	0.086268729	3.763049205	9.624706095	9.426952726	11.01969337	1.710349383	13.230497	6.025554273	3.889243682	2.361348943	Inf	39.38917526	3.655917066	15.69587629	0.754381923	3.507661455	2.973573791	4.407725847	2.799869089	2.270651181	2.37776572	0.498281787	9.575676079	5.046817365	2.465183578
IGHD5.4	2.139015836	0.81243659	0.714609002	0.695276912	16.10236933	6.219624448	2.028538036	6.311569301	2.235058176	0.667465836	0.938511327	6.343607724	1.654407506	1.242468871	68.26460481	26.73390109	5.538279534	0.275101391	1.150606524	4.484536082	2.060462524	10.75138779	1.929274104	6.33635944	2.285555069	7.143508804	2.320810764	NA	10.38917526	1.648910203	11.6337965	0.208777285	1.590261022	3.529607914	2.25703924	7.751050019	0.728500587	1.678422861	2.161776368	24.74077394	5.348529273	3.339362151
IGHD6.2	1.714442113	0.919005478	0.847111303	0.280510393	39.08088806	4.811946903	0.868484495	6.116979097	2.09600774	2.071002264	2.90689349	9.627150622	1.614795665	4.782783588	122.1165192	17.29511351	29.15566517	0.345583875	6.468551967	20.93619003	8.022801563	12.07510778	3.247605354	8.733324528	7.699115044	16.26125773	2.02699865	NA	17.38716814	0.722015431	8.257021932	1.417000379	2.956397773	0.816258378	0.679632026	9.084141031	1.827321609	2.468819541	1.717494894	19.71271002	2.943086791	5.095223309
IGHD6.3	1.910227169	0.699030763	0.82207353	0.614735542	7.428970657	5.694137168	1.884611353	7.680718115	1.20479185	1.694998971	3.04808546	10.3957594	0.92274038	2.033099644	62.44837758	29.08554572	17.75424344	0.419637563	0.202395243	10.96335973	7.502591087	10.66031314	2.625098722	3.945317659	2.150203301	4.22429321	2.087895605	NA	12.8960177	3.881726526	20.69834552	0.900858588	1.482099147	1.867709849	3.509741509	4.725382778	1.023300101	2.926564198	1.385182664	21.31204309	13.18502882	2.829012058
IGHD6.4	0.613812608	0.298187948	0.682279301	1.068326816	8.824716659	0.99676043	0.247518081	4.424461573	1.035625871	0.435686355	0	5.093661561	0.115342547	2.791345822	40.42035398	14.24522252	6.479036704	0.132473819	1.271042126	1.148113647	0.843896994	4.589857046	0.399343877	1.264033813	5.935353811	0.181690031	0.060896955	NA	0.449115044	3.588631153	3.375336668	0.136204084	1.053070447	1.238222455	1.186820106	0.040736058	0.698442926	2.603891735	0.256637168	9.893548801	6.663148494	0.232624334
IGHD7.3	1.102754774	0.722924798	1.080301213	3.07357987	11.05119356	6.674838993	3.290061302	7.557142018	4.436903695	5.096835684	1.984720675	6.045185987	1.115076441	2.508249947	158.6680328	19.60204324	11.26175759	0.110507256	2.339556291	20.80960598	5.642814946	12.58617066	4.900964099	12.77220455	4.14836382	9.192659219	1.563212003	NA	4.100409836	1.675190648	14.4948325	1.049088744	2.49987543	4.215898546	3.720598717	13.04232804	1.933233036	1.688955997	1.737074401	22.94369209	5.146638592	1.633352507
IGHD7.4	1.499516753	0.067609127	0.847306911	0	6.717379386	4.298618862	0.95838621	4.53937052	2.713650523	2.834665698	1.583737864	8.027442893	0.210015801	0.507558847	71.55598958	4.33423913	14.03944672	0.064649126	1.815358833	3.776041667	3.980152027	9.047976763	1.990846682	7.202658582	5.213561776	5.894634956	2.327065678	Inf	1.01953125	3.212264972	4.33423913	0.314318552	3.126424772	0.256485849	1.638772233	1.030919312	2.093552215	1.994014985	0.534455128	14.84148551	3.117832569	0
IGHD8.2	2.918998527	0.760090703	1.088269454	1.481727575	14.08521303	4.540816327	1.783901378	5.079365079	2.1819017	1.159468439	2.889505317	5.997099347	2.897271268	5.551948052	41.54761905	16.60455487	12.95081967	0.355883296	2.298332582	7.694235589	5.720720721	13.45238095	3.236351749	4.541577825	2.653061224	11.2642225	2.813559322	NA	25.53571429	3.461997612	7.919254658	1.23038042	1.90186713	3.665768194	3.924336533	5.540438398	2.10443038	3.015873016	1.474358974	29.58592133	13.43381389	2.360066834
IGHD9.1	0.086657702	0.074718196	0.519382585	0.674418605	7.815916603	2.776915114	0.248902621	1.717313386	0	0.772160431	2.366680737	1.877436916	1.629213483	1.528326746	75.65217391	7.796681369	1.309099549	0.060638164	0.212133681	0.33180778	0.170387779	1.347082869	1.327231121	0.784122864	0.616641486	2.938309606	0.142471137	NA	11.0326087	0	3.609010712	0.849189	2.056737589	1.132856752	1.960245174	1.734529561	0.472161071	1.241206882	0.727424749	4.933837429	5.822364047	1.523857954
IGHD9.4	0.311967727	0.040027605	0.498880641	2.023255814	13.41978134	1.651138716	0.078226538	2.078853047	0.101356074	0.772160431	0.856901646	1.642757302	0.247923791	1.200828157	76.352657	15.83700903	3.996198622	0.017517692	1.948978192	2.728197305	2.839796318	0.242474916	0.759791729	0.250919316	0	2.566371681	1.495946942	NA	0	0.105365145	6.578449905	0.320891696	0.945332805	0.215242783	1.312367532	0.200138026	0.458860759	1.192050174	0.323299889	0	4.164339848	2.543859649
